Hypothesis,Reference
"introductionescherichia coli ( e. coli ) is a gram - negative , rod - shaped bacterium that is commonly found in the lower intestine of warm - blooded organisms ( endotherms ) . 
 recent studies suggest that e . coli b2 strains constitute a major subgroup causing extraintestinal infections.case reporta 44-year - old pakistani male patient , admitted to the trauma intensive care unit after having sustained severe head injury and forearm fracture caused by a car accident , was admitted to hamad general hospital in qatar , during the period from 2007 to 2010.conclusione. coli is uncommon as a pathogen of adult bacterial meningitis .","we report four cases of nosocomial e. coli meningitis , in male patients with accidental and neurosurgical trauma . 
 the interval between accidents / neurosurgical procedures and the onset of meningitis was 2 - 15 days ( mean 6.25 days ) . 
 the most consistent clinical features were fever and deterioration of consciousness level . 
 emergence of extended spectrum beta lactamase e. coli strains had been observed in two ( 50% ) of our cases and the mean duration of antimicrobial treatment was 16.5 days ( range : 6 - 24 days ) . 
 two of the four patients ( 50% ) died in the hospital ."
"an intracardiactransvenous pm lead thrombosis causing hypoxemia has not been previously reported in pediatric patients . 
 we present a case of intracardiac pm lead obstruction in a 13 year - old female with congenital complete atrioventricular block who underwent right atrial thromboembolization , primary closure of the pfo , and conversion to an epicardial pacing system . a transesophageal echocardiogram ( tee ) confirmed atrial and ventricular pacing leads surrounded by a calcified thrombus measuring 3  2 cm .","lead thrombosis is a recognized complication of permanent transvenous pacemaker ( pm ) implantation . 
 we present the interesting case of an adolescent with a dual - chamber pm presenting with fatigue and hypoxemia . due to limitations of various imaging modalities , 
 the diagnosis was difficult . 
 she was eventually diagnosed with intracardiac pm lead thrombi obstructing tricuspid valve inflow . the pediatric literature on pm lead thrombosis is also briefly reviewed ."
"the aim of this study was to compare the perceivement of symmetry among different dental specialties in order to determine the perception of aesthetics among dental professionals and general practitioners.materials and methodsa total of 12 orthodontists and 12 general practitioners were selected for this study . 
 the patient and clinician were evaluated using computerized tomography ( ct ) to determine their perception of the aesthetics of the papilla and gingival contours.resultsa statistically significant difference was found between the two specialties when the patient perceived a shortened papilla length of 2  mm and the clinician perceived an unfavorable esthetic outcome when the posterior papilla was 3  mm in position compared to the anterior papilla of the adjacent teeth.conclusionsthe discrepancy between implant survival and success is not unexpected as their definitions are quite different . however , it is restrictive and includes only the dental implants that present , in addition to proper integration and function , other features such as esthetic characteristics : soft tissue contours with an intact interdental papilla 
 and a gingiva outline that is harmonious with the  perceivement  of this defect .","the purpose of the study was to determine if there was a difference in the perception of aesthetics , by dental specialty , using computer assisted asymmetric alteration of the papilla length in the aesthetic zone with an apical alteration of the contact point of the clinical crowns . 
 standardized photographs were presented to sixty - five randomly selected dentists from new york university college of dentistry on a computer screen for evaluation . 
 then , the dental professionals were asked to rate the smile in each picture . 
 control and experiment photographs were used . 
 data was analyzed using the statistical package spss version 21 and one - way anova . 
 the perception of esthetics depends on the dental professional specialty ; results provide evidence that asymmetric deficiency in papilla length of 2  mm or more is perceived as  unattractive  by the dental specialists ."
"objective : to investigate the increased incidence of left - sided gynecomastia in members of the german ministry of defense guard battalion who perform ceremonial duties in berlin.methods:we carried out a controlled prospective study to obtain significant evidence for or against the hypothesis that the mechanical impact of the carbine against the left side of the body during drills . in accordance with the relevant literature , we analyzed clinical parameters and hormone levels and compared the patients with a control group.results:in 2010 we retrospectively collected over a six and a half year period a total of 221 soldiers from military units including the guard battalion and other facilities in and around berlin who presented to their unit surgeons with clinical manifestations of gynechastia . at the same time 
 , we established a control control group of healthy males without signs or symptoms of the condition . 
 the gyneachastia group showed statistically significant differences in serum levels of free thyroxine , free triiodothyronine ( ft4 ) , free thyroid - stimulating hormone ( tsh ) , alpha - fetoprotein ( afp ) , beta - human chorionic gonadotropin ( beta - hcg ) , prolactin ,","background : we found a high incidence of patients with gynecomastia in the german ministry of defense guard battalion in berlin . 
 for this reason , we conducted the present study to investigate etiological and pathological aspects of this condition . 
 methods : within six years , a total of 211 patients underwent surgery for gynecomastia . 
 we compared this group of patients with a control group of healthy males without signs or symptoms of gynecomastia . 
 the two groups were matched for median age . 
 results : the groups showed significant differences ( p<0.05 ) in serum testosterone , free triiodothyronine ( ft3 ) , lh ( luteinizing hormone ) and prolactin levels and in body mass index ( bmi ) . 
 in addition , there was a highly significant correlation between left - sided gynecomastia and membership in the guard battalion . 
 conclusions : we found differences in hormone blood levels between gynecomastia patients and a control group . 
 moreover , gynecomastia was predominantly seen on the left side in guard soldiers . 
 a possible explanation is the mechanical impact of the carbine against the left side of the body during rifle drills ."
"backgrounddiffuse dermal angiomatosis ( dda ) is a rare , acquired , reactive vascular proliferation , clinically characterized by livedoid erythematous  violaceous plaques , which frequently evolve to ulceration and necrosis . 
 histopathologically , it is manifested by a diffuse proliferation of endothelial cells within the full thickness of the dermis.case reportwe report a 63-year - old woman who presented with multiple painful deep skin ulcers on thighs , lower abdomen , and perianal area , associated with intermittent claudication , low - grade fever , and weight loss . a complete thrombophilic evaluation including lupus anticoagulant , anticardiolipin antibodies , leiden factor v , proteins s and c , antithrombin iii , antiphospholipid antibodies , cryoglobulin , fibrin degradation products , and d - dimer failed to detect any abnormality.conclusiondiagnosis of dda as a cutaneous sign of severe peripheral vascular disease is important for both dermatologists and internists .","abstractbackground : diffuse dermal angiomatosis ( dda ) is a rare , acquired , reactive vascular proliferation , clinically characterized by livedoid erythematous  violaceous plaques , which frequently evolve to ulceration and necrosis . 
 histopathologically , it is manifested by a diffuse proliferation of endothelial cells within the full thickness of the dermis . 
 dda has been mainly associated with severe peripheral atherosclerosis.methods:we report a 63-year - old woman who presented with multiple erythematous  violaceous plaques with central deep skin ulcers on thighs , lower abdomen , and perianal area , associated with intermittent claudication , low - grade fever , and weight loss . 
 initially , the clinical picture along with positive cultures for klebsiella pneumoniae suggested a multifocal ecthyma gangrenosum ; nevertheless , a skin biopsy showed a diffuse dermal proliferation of endothelial cells interstitially arranged between collagen bundles . 
 a computed tomography scan revealed severe aortic atheromatosis with complete luminal occlusion of the infrarenal aorta and common iliac arteries.results:the diagnosis of dda secondary to severe atherosclerosis was established . 
 the patient underwent a left axillofemoral bypass surgery with a rapidly healing of the ulcers in the next weeks.conclusions:dda should be considered in the differential diagnosis of livedoid ischemic lesions . 
 recognition of dda as a cutaneous sign of severe peripheral vascular disease is important for both dermatologists and internists . 
 recognition of risk factors and their management with an early intervention to correct tissue ischemia can be curative ."
"introduction : electronic - cigarettes ( e - cigarettes ) are devices designed to deliver nicotine without tobacco smoke by heating a solution of nicotine , flavoring , additives , propylene glycol , and/or vegetable glycerine . 
 they are now accountable for 42% of nicotine exposure related calls made to poison control centers in the united states.case report : a 15-month - old child who ingested 5 ml of liquid nicotine ( concentration : 10 mg / ml ) used to refill an e - cigarette , mistaking it for cold medicine was admitted to the intensive care unit ( icu).conclusion:liquid nicotine ingestion is a serious adverse event that should be considered in the differential diagnosis of such ingestion .","electronic cigarettes are novel tobacco products that are frequently used these days . 
 the cartridge contains liquid nicotine and accidental poisoning , even with a small oral dose , endangers children . 
 we present here a mortality case of a 15-month - old child who ingested liquid nicotine mistaking it for cold medicine . 
 when the emergency medical technicians arrived , she was found to have pulseless electrical activity . 
 spontaneous circulation was restored after approximately 40 minutes of cardiopulmonary resuscitation . 
 the cotinine level in her urine was 1,716 ng / ml . despite intensive supportive care , severe anoxic brain injury was found on computed tomography and the child ultimately died . 
 this fatality highlights the need for public health efforts to minimize such accidents ."
"background : acute coronary syndrome ( acs ) is a set of signs and symptoms caused by rupture of an arterial plaque which provokes platelet  rich coronary thrombus formation . 
 it has been shown that platelet size , measured as mean platelet volume ( mvp ) , is a marker of platelet function and is positively associated with platelet activity.aim:the aim of this study was to investigate whether there is an association between platelet count measured at admission with cardiac troponin t ( ctnt ) elevation in a large sample of patients with acute chest pain who were admitted to the emergency departments.materials and methods : a total of 851 patients were randomly divided into two groups : positive and negative ( tropononin 0.1g / l ) and negative group . the mean age of the subjects was 62.62 32.14 years with max : 100 and min : 18.the mean of mpv was 221683167032/l with max: 939000 and min: 26000 . in troponan 
 positive group , the mean mpv 
 was 9.92 2.37 fl ( max : 13.4 and min  7.","backgroundmyocardial infarction is the major cause of morbidity and mortality in industrialized countries . 
 platelet count and the mean platelet volume ( mpv ) , a simple and reliable indicator of platelet size which correlates with platelet activation , might associate with troponin in acute chest pain.methodswe analyzed mpv of 851 patients who were admitted to rasoul - e - akram hospital with acute chest pain during the year 2010 . 
 two blood samples were taken from each patient within 4 hours of their arrival for routine hematology , including platelet count and mpv , and cardiac troponin t. also , electrocardiograms of the patients were recorded . 
 association of mpv and platelet count with troponin was observed.resultsthe patients in troponin positive group , who had also ischemic electrocardiographic changes , had higher mpv values than non- acute coronary syndrome ( acs ) patients with normal cardiac troponin t levels ( 9.9 vs 9.5 fl with p < 0.001 ) . in troponin 
 negative group , the mean of platelet count was higher than that in the positive group ( 221683 vs 198814/l with p < 0.001).conclusionmpv and platelet count are inexpensive laboratory tests which can be measured in association with other laboratory biomarkers in patients presenting with acute chest pain.this could help to lower hospitalization rates and also avoid misdiagnosis and having complications of patients with acs ."
"hemophagocytic syndrome ( hps ) is a rare but severe disease associated with various infectious , genetic , neoplastic , and autoimmune diseases . 
 we report a case of epstein - barr virus ( ebv)-associated hps after scrub typhus infection that was not improved using adequate anti - rickettsial treatment . a 73-year - old male , who was diagnosed to be diagnosed with hps according to an eschar on the axilla and a positive result of indirect immunofluorescence assay for o. tsutsugamushi ( antibody titer of 1:1,280 ) , was transferred to our institution from a local hospital because of a persistent fever despite 7-day doxycycline therapy . on admission , he had a body temperature of 36.9c , a pulse of 72 beats / min , a respiration rate of 21 breaths / min and a blood pressure of 97/54 mmhg . on examination , 
 he had hepatosplenomegaly , a maculopapular rash on the abdomen , and a 1-cm sized eschar in the left axillary area . on blood and urine cultures 
 , he was diagnosed with scrub","there have been a small number of cases of scrub typhus - associated hemophagocytic syndrome ( hps ) , most of which were treated successfully using adequate antibiotics . here 
 , we report a case of epstein - barr virus ( ebv)-associated hps after scrub typhus infection that was not improved using antirickettsial treatment . a 73-year - old male who had been diagnosed with scrub typhus according to an eschar and a positive serology 
 was transferred to our institution because of a persistent fever despite 7-day doxycycline therapy . 
 physical and laboratory data showed hepatosplenomegaly , bicytopenia , hyperferritinemia , and hypofibrinogenemia . a bone marrow examination ( bm ) revealed hypercellular marrow with hemophagocytosis and histiocyte infiltration . 
 ebv was detected in bm aspirates using polymerase chain reaction . 
 after a diagnosis of hps was made , the patient was treated successfully using high - dose steroids ."
"hair casts are discrete , shiny , freely movable tubular structures that envelop the hair shafts and may clinically be misdiagnosed as nits . in 1986 , keipert considered the existence of two types of hair casts . 
 the first , not associated with scalp disorders , was described in women and named as peripilar keratin casts . to our knowledge , this is the first report of dermoscopic features of pemphigus vulgaris involving the scalp .","we report the dermoscopic features of pemphigus vulgaris ( pv ) involving the scalp of a 57-year - old african - american female . among our findings 
 , there were hair casts  movable tubular structures that envelop the hair shafts . 
 we suggest that the development of those casts occurs through acantholysis within the outer root sheath , a mechanism not yet considered in the literature . 
 this report also highlights how dermoscopy may contribute to the evaluation of disease activity , especially in those cases of pv in which scalp involvement is recalcitrant to treatment . 
 finally , we recommend that the presence of hair casts should herald the need of therapy adjustment for better disease control ."
"a 32-year - old woman had a laparoscopy and a reported left salpingoophorectomy for benign disease of the ovary in 1994 . shortly thereafter , in january , 1995 , she was diagnosed with an intrauterine pregnancy and delivered in october of 1995 by spontaneous vaginal delivery . 
 however , at the time of laparotomy 
 , the patient was found to have a retained foreign body from her prior laparoscopicopy in the right lower quadrant with a pelvic abscess and evidence of prior right salpingosophoresctomy . in addition to this , a 4.3 cm  6 cm  3.4 cm mass was superior to the first mass and inflammatory in nature . on the right side 
 there was a large , 10 cm  12 cm inflammatory mass with the appearance of an abscess . a partial omentectomy and removal of foreign body 
 was performed , along with an excision of the right pelvic mass and appendectomy . by postoperative day number five the patient 's condition was improved and she was discharged from the hospital without any specific complaints .","background : laparoscopy is widely used as a tool in many clinical situations allowing for diagnosis and/or surgical management in a minimally invasive fashion . 
 most laparoscopic cases are ambulatory and allow patients to recover quickly . 
 nonetheless , attention to surgical technique is paramount to avoid both short and long term complications.case:a 32-year - old woman had a laparoscopy and a reported left salpingoophorectomy for benign disease of the ovary in september , 1994 . shortly thereafter , in january , 1995 , she was diagnosed with an intrauterine pregnancy and delivered in october of 1995 by spontaneous vaginal delivery . 
 the pregnancy and delivery were both uncomplicated . 
 the patient presented four weeks postpartum with clinical suspicion of appendicitis . 
 however , at the time of laparotomy , the patient was found to have a retained foreign body from her prior laparoscopy in the right lower quadrant with a pelvic abscess and evidence of prior right salpingoophorectomy . 
 the appendix appeared grossly normal.conclusion:laparoscopy is a safe , effective modality for various surgical and gynecologic conditions . 
 although laparoscopy is usually done on an outpatient basis , complications can manifest several weeks or months later . 
 this case illustrates and reminds us of the importance of adherence to surgical laparoscopic principles . 
 these include direct visualization when removing equipment and a complete count of surgical instrumentation to confirm the integrity of such at the end of each procedure ."
"purposeto describe the clinical diagnosis of proteus syndrome ( ps ) in children referred for evaluation of asymmetric disproportionate overgrowth.methodsa retrospective , descriptive , cross - sectional study conducted from january 1998 to december 2010 . 
 thirteen ( 0.65% ) patients presented features suggestive of ps . these patients were formally evaluated based on the revised diagnostic criteria proposed by biesecker.resultsother dysmorphic features were as follows : macrodactily ( 84.6% ) ; linear epidermal nevus ( 41.6%).conclusionthe use of diagnostic criteria has its flaws , but the benefit of its use is justified because it classifies and defines , through specific criteria , a group of individuals who have similar clinical and prognostic features.conclusionsthe diagnostic rate of only 46.1% of patients with ps confirms the diagnostic difficulties and the need for continuous monitoring and periodic review of these patients since the clinical manifestations of this syndrome become more evident with aging .","objectives : this paper describes the clinical diagnosis of proteus syndrome ( ps ) in children referred for evaluation of asymmetric disproportionate overgrowth.materials and methods : retrospective , descriptive , cross - sectional study conducted from january 1998 to december 2010.results:during the study period , 2011 new patients were evaluated . 
 thirteen ( 0.65% ) patients presented features suggestive of ps . these patients were formally evaluated based on the revised diagnostic criteria proposed by biesecker . 
 the mean age was 6.92  5.1 years . 
 ten patients ( 76.9% ) were females . 
 all subjects had asymmetric disproportionate overgrowth . 
 other dysmorphic features were as follows : macrodactily ( 84.6% ) ; linear epidermal nevus ( 41.6% ) ; hemangioma ( 30.7% ) ; and lipoma ( 23% ) . 
 six patients fulfilled the diagnostic criteria for ps.conclusions:the diagnostic rate of only 46.1% of patients with ps confirms the diagnostic difficulties and the need for continuous monitoring and periodic review of these patients since the clinical manifestations of this syndrome become more evident with aging . 
 molecular tests may help the differential diagnosis of proteus syndrome when they became commercially available ."
